Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2004-01-02,17.041078567504883,17.239735754736714,16.96658153024783,17.121782605783977,44487700
2004-01-05,17.46942710876465,17.494259841289363,17.208689337704435,17.214897520835613,67333700
2004-01-06,17.531505584716797,17.55633831416599,17.42596885273716,17.50046585699502,46950800
2004-01-07,17.51288604736328,17.57496670465533,17.388725916869234,17.488054494900492,54298200
2004-01-08,17.481840133666992,17.68049721953531,17.382511590732832,17.624624766123645,58810800
2004-01-09,17.171443939208984,17.41976538039439,17.127987835012792,17.401142012361756,67079900
2004-01-12,17.115570068359375,17.214898636717063,16.978993582890038,17.177650719605413,55845200
2004-01-13,17.028661727905273,17.159030059398873,16.923124952086084,17.1031575790187,51555900
2004-01-14,17.196269989013672,17.21489334980506,17.053484179772134,17.084525087907064,43907000
2004-01-15,17.09694480895996,17.2086885479232,17.022447798894664,17.103151807716415,58504100
2004-01-16,17.264564514160156,17.308020618815757,17.090740095537743,17.20248385718499,63983400
2004-01-20,17.444591522216797,17.506672155068163,17.33905480159635,17.37009452597724,63068500
2004-01-21,17.56875228881836,17.56875228881836,17.28939120622958,17.46321556408314,53570600
2004-01-22,17.38872718811035,17.655673205118802,17.345271080055976,17.606008912472358,78425200
2004-01-23,17.680496215820312,17.8543217481319,17.51908704669303,17.55633613624595,127259100
2004-01-26,17.879161834716797,17.89778638839378,17.581176080425884,17.686712849748513,58299600
2004-01-27,17.5377197265625,17.82949729220101,17.51909517314681,17.779833000515943,63196200
2004-01-28,17.202478408813477,17.655666232335445,17.053485589716136,17.568752866461406,71336000
2004-01-29,17.326644897460938,17.351477633494788,17.115571377533307,17.264564241466335,63748400
2004-01-30,17.16524314880371,17.320444264406078,17.103162465744656,17.283196328206863,40528700
2004-02-02,17.010028839111328,17.258350194642738,16.910700296898767,17.140398290821334,62891800
2004-02-03,16.941743850708008,17.103151868929192,16.873455023244563,17.010031494081645,47993800
2004-02-04,16.76792335510254,17.028661194005018,16.76792335510254,16.898291682508695,60648000
2004-02-05,16.736881256103516,16.867250758445273,16.656177228246303,16.79896191511911,55527500
2004-02-06,16.811370849609375,16.87965966273764,16.718250494309636,16.78033112587265,47209600
2004-02-09,16.699628829956055,16.904494120586346,16.668589100865614,16.87966257413195,48108500
2004-02-10,16.77413558959961,16.854839642608113,16.649974232873735,16.68101516410043,37790600
2004-02-11,16.854833602905273,16.904497890981006,16.66859281864379,16.743088658712374,51515300
2004-02-12,16.73067855834961,16.854838724219782,16.718262186535476,16.81759079286777,44537000
2004-02-13,16.507179260253906,16.798956728219952,16.45130680280024,16.749292453159992,67541100
2004-02-17,16.755510330200195,16.823799191952844,16.507188811222928,16.58789286085664,43477000
2004-02-18,16.618928909301758,16.83000243445634,16.60030435681516,16.699632935230248,50334700
2004-02-19,16.426483154296875,16.749301712695623,16.407859780909885,16.712053781831266,61840600
2004-02-20,16.494768142700195,16.63755283090832,16.451312036209906,16.55064061792774,57821900
2004-02-23,16.519596099853516,16.612716470256224,16.43889091050535,16.594091922539782,50256800
2004-02-24,16.687217712402344,16.730675004520876,16.48235235734695,16.519601464877123,55426500
2004-02-25,16.575468063354492,16.755500616205307,16.519595605965343,16.699628158816157,64275700
2004-02-26,16.451316833496094,16.544437257999682,16.395444341975853,16.507189325016334,66602700
2004-02-27,16.469940185546875,16.525812672974244,16.35819521069214,16.432691071201727,58266500
2004-03-01,16.575468063354492,16.587883244037855,16.45130678380311,16.532010786648705,51912300
2004-03-02,16.383024215698242,16.569266206121352,16.358192660762594,16.51960191215989,66331000
2004-03-03,16.370615005493164,16.48235881962493,16.277493384247457,16.358198631448325,54998700
2004-03-04,16.370615005493164,16.401654756514667,16.271285197225037,16.34578225740348,44023200
2004-03-05,16.358190536499023,16.513391582985562,16.265070145425106,16.28369351318588,59849800
2004-03-08,16.035369873046875,16.35818828957894,16.022953506851827,16.33335555718885,69367800
2004-03-09,15.967082023620605,16.122283058320185,15.855338273272443,16.016746307360876,81111700
2004-03-10,15.749804496765137,16.016749332227132,15.737388127462676,15.923628930638978,75155800
2004-03-11,15.575973510742188,16.004328631328782,15.56355714571887,15.631845969257386,90536300
2004-03-12,15.756013870239258,15.8367190987696,15.662893454626833,15.756013870239258,64137100
2004-03-15,15.619429588317871,15.787046963692656,15.557348947354274,15.70634177521306,68835300
2004-03-16,15.63184928894043,15.749802413531791,15.582185002389858,15.681513575491005,65453800
2004-03-17,15.600808143615723,15.80567347067803,15.588392960225564,15.67530516440655,56241400
2004-03-18,15.451813697814941,15.538727077151982,15.259364758014808,15.495269795438535,123231000
2004-03-19,15.290407180786133,15.482857338550367,15.246951075513584,15.377320575421294,86281600
2004-03-22,15.209710121154785,15.420783744093978,14.905516060822562,15.19729374707822,127605200
2004-03-23,14.992416381835938,15.309026564320629,14.967584837531664,15.302818382222146,91696300
2004-03-24,15.153824806213379,15.259361528429887,15.011040177358574,15.135200260849428,97584700
2004-03-25,15.638057708740234,15.669097444268967,15.259366778021626,15.271783145869124,85677900
2004-03-26,15.53873348236084,15.836719289546412,15.520108925377862,15.588397783558435,61584900
2004-03-29,15.712553977966309,15.768426450720222,15.520105007419518,15.675306057493714,51881600
2004-03-30,15.644261360168457,15.724965359615402,15.538724632221118,15.650468358203888,59010400
2004-03-31,15.476651191711426,15.644268634762287,15.439403265730196,15.644268634762287,70533200
2004-04-01,15.569767951965332,15.588392502638822,15.426983282405065,15.489063933893425,69051900
2004-04-02,16.04778289794922,16.07882262288423,15.793253364395387,15.818084907525474,98043800
2004-04-05,16.10987091064453,16.12849428049968,15.973293216559329,16.022957509656635,53800300
2004-04-06,16.01674461364746,16.078825257780473,15.929832422315124,15.998121249270419,48992000
2004-04-07,15.886378288269043,16.004331408277412,15.737385434406336,15.97949867392199,63268900
2004-04-08,15.818089485168457,16.047787542065187,15.74359365013002,16.029162991260606,45294600
2004-04-12,15.898791313171387,15.979495314680868,15.787046400243108,15.818086127572208,38786800
2004-04-13,15.799469947814941,15.998127134853126,15.77463720739005,15.942254652987357,56971500
2004-04-14,15.836715698242188,15.942252462365717,15.756010487041214,15.762218671294372,61079600
2004-04-15,15.656685829162598,15.973296200843922,15.58218996764368,15.849136036948936,73756900
2004-04-16,15.619429588317871,15.768422416176657,15.588389859880943,15.724966322729061,51768600
2004-04-19,15.849124908447266,15.892580994502232,15.557346300781852,15.569762663680281,44592100
2004-04-20,15.72496509552002,16.066406818038363,15.693925369505497,15.923622183828122,59902600
2004-04-21,15.799469947814941,15.824301504149597,15.64426887243008,15.743597465949172,49252000
2004-04-22,16.10987091064453,16.134702465148113,15.811883967970545,15.836716706564273,99207700
2004-04-23,17.09694480895996,17.2086885479232,16.972783520214403,17.010031433202148,258269000
2004-04-26,16.91070556640625,17.103154528900482,16.82379336091014,17.0410750587404,89391000
2004-04-27,16.898290634155273,16.991412215485546,16.842418158993144,16.861042712077218,80716800
2004-04-28,16.488555908203125,16.792749763005293,16.432683446699684,16.76791821572032,72842200
2004-04-29,16.438888549804688,16.72445898666547,16.33335182941325,16.45751309484656,77787300
